,backend,bandwidth,beam,beam_rotation_angle,beam_semi_major_axis,beam_semi_minor_axis,bits_per_sample,centre_frequency,channel_bandwidth,circular_poln_frac,circular_poln_frac_error,circular_poln_frac_frmt,circular_poln_frac_frmt_err,count,dec,decj,dispersion_smearing,dm,dm_error,dm_frmt,dm_frmt_err,dm_index,dm_index_error,dm_index_frmt,dm_index_frmt_err,fluence,fluence_error_lower,fluence_error_upper,fluence_frmt,fluence_frmt_err_down,fluence_frmt_err_up,flux,flux_error_lower,flux_error_upper,flux_frmt,flux_frmt_err_down,flux_frmt_err_up,frb_name,gain,galactic_electron_model,gb,gl,linear_poln_frac,linear_poln_frac_error,linear_poln_frac_frmt,linear_poln_frac_frmt_err,mw_dm_limit,notes_author_x,notes_author_y,notes_last_modified_x,notes_last_modified_y,notes_note_x,notes_note_y,npol,o_data_link,pub_description,pub_link,pub_reference,pub_type,ra,raj,receiver,redshift_host,redshift_inferred,rm,rm_error,sampling_time,scattering,scattering_error,scattering_frmt,scattering_frmt_err,scattering_index,scattering_index_error,scattering_index_frmt,scattering_index_frmt_err,scattering_model,scattering_timescale,snr,snr_frmt,spectral_index,spectral_index_error,spectral_index_frmt,spectral_index_frmt_err,telescope,tsys,type,unnamed: 0,utc,width,width_error_lower,width_error_upper,width_frmt,width_frmt_err_down,width_frmt_err_up,rate,n_bursts,exposure
174,,400.0,,0.0,15.0,10.0,,600.0,0.0244140625,,,,,28,81.43333333333334,+81:26:00,,0.0,,0.0,,,,,,,,,,,,,,,,,,FRB181017.J18+81,,NE2001,28.00819710836724,114.31662035342995,,,,,49.0,,,,,,,2.0,,,,,,276.0,18:24:00,,,,,,0.98304,,,,,,,,,,,0.0,0.0,,,,,chime,,one-off,174,2019-05-16 00:00:00.000,0.0,,,0.0,,,0.028037383177570093,3.0,107.0
209,,400.0,,90.0,11.0,10.0,,600.0,0.0244140625,,,,,46,53.28333333333333,+53:17:00,,552.7,0.2,552.7,0.2,,,,,1.7000000000000002,0.7000000000000001,0.7000000000000001,1.7,-0.7,0.7,0.6000000000000001,0.30000000000000004,0.30000000000000004,0.6,-0.3,0.3,FRB190604.J1435+53,,NE2001,58.119691335636645,95.7707573840207,,,,,32.0,,,,,,,2.0,,,,,,218.75,14:35:00,,,,,,0.98304,,,,,,,,,,,0.0,0.0,,,,,chime,,one-off,209,2019-06-06 05:34:23.574,1.2,0.5,0.5,1.2,-0.5,0.5,0.06666666666666667,2.0,30.0
149,,400.0,,90.0,19.0,17.0,,600.0,0.0244140625,,,,,46,74.2,+74:12:00,,195.7,0.9,195.7,0.9,,,,,1.1,0.30000000000000004,0.30000000000000004,1.1,-0.3,0.3,0.4,0.2,0.2,0.4,-0.2,0.2,FRB180908.J1232+74,,NE2001,42.820644485730234,126.19622856107308,,,,,38.0,,,,,,,2.0,,,,,,188.0,12:32:00,,,,,,0.98304,,,,,,,,,,,0.0,0.0,,,,,chime,,repeater,149,2019-06-21 02:21:21.113,2.8,0.30000000000000004,0.30000000000000004,2.8,-0.3,0.3,0.0898876404494382,4.0,44.5
191,,400.0,,90.0,15.0,8.0,,600.0,0.0244140625,,,,,42,17.383333333333333,+17:23:00,,392.6,0.6000000000000001,392.6,0.6,,,,,6.7,1.3,1.3,6.7,-1.3,1.3,0.6000000000000001,0.2,0.2,0.6,-0.2,0.2,FRB190117.J2207+17,,NE2001,-29.430870910480962,76.34665423579123,,,,,48.0,,,,,,,2.0,,,,,,331.75,22:07:00,,,,,,0.98304,,,,,,,,,,,0.0,0.0,,,,,chime,,repeater,191,2019-06-30 11:34:38.873,1.3,,,1.3,,,0.2631578947368421,5.0,19.0
150,,400.0,,90.0,19.0,17.0,,600.0,0.0244140625,,,,,46,74.2,+74:12:00,,195.4,0.4,195.4,0.4,,,,,1.4,0.6000000000000001,0.6000000000000001,1.4,-0.6,0.6,0.5,0.4,0.4,0.5,-0.4,0.4,FRB180908.J1232+74,,NE2001,42.820644485730234,126.19622856107308,,,,,38.0,,,,,,,2.0,,,,,,188.0,12:32:00,,,,,,0.98304,,,,,,,,,,,0.0,0.0,,,,,chime,,repeater,150,2019-07-02 01:58:11.866,1.6,0.30000000000000004,0.30000000000000004,1.6,-0.3,0.3,0.0898876404494382,4.0,44.5
151,,400.0,,90.0,19.0,17.0,,600.0,0.0244140625,,,,,40,74.2,+74:12:00,,196.1,0.8,196.1,0.8,,,,,2.9,1.8,1.8,2.9,-1.8,1.8,,,,,,,FRB180908.J1232+74,,NE2001,42.820644485730234,126.19622856107308,,,,,38.0,,,,,,,2.0,,,,,,188.0,12:32:00,,,,,,0.98304,,,,,,,,,,,0.0,0.0,,,,,chime,,one-off,151,2019-07-18 01:11:20.056,9.0,2.0,2.0,9.0,-2.0,2.0,0.0898876404494382,4.0,44.5
205,,400.0,,90.0,16.0,13.0,,600.0,0.0244140625,,,,,46,59.4,+59:24:00,,1379.0,1.0,1379.0,1.0,,,,,3.2,0.7000000000000001,0.7000000000000001,3.2,-0.7,0.7,0.4,0.2,0.2,0.4,-0.2,0.2,FRB190417.J1939+59,,NE2001,17.988866298065897,92.19632901635147,,,,,78.0,,,,,,,2.0,,,,,,294.75,19:39:00,,,,,,0.98304,,,,,,,,,,,0.0,0.0,,,,,chime,,repeater,205,2019-08-06 06:36:49.674,9.0,3.0,3.0,9.0,-3.0,3.0,0.10344827586206896,3.0,29.0
192,,400.0,,90.0,15.0,8.0,,600.0,0.0244140625,,,,,46,17.383333333333333,+17:23:00,,392.9,0.2,392.9,0.2,,,,,5.0,1.4,1.4,5.0,-1.4,1.4,0.7000000000000001,0.30000000000000004,0.30000000000000004,0.7,-0.3,0.3,FRB190117.J2207+17,,NE2001,-29.430870910480962,76.34665423579123,,,,,48.0,,,,,,,2.0,,,,,,331.75,22:07:00,,,,,,0.98304,,,,,,,,,,,0.0,0.0,,,,,chime,,repeater,192,2019-08-10 08:52:24.060,3.2,0.30000000000000004,0.30000000000000004,3.2,-0.3,0.3,0.2631578947368421,5.0,19.0
193,,400.0,,90.0,15.0,8.0,,600.0,0.0244140625,,,,,46,17.383333333333333,+17:23:00,,395.1,0.2,395.1,0.2,,,,,9.1,2.2,2.2,9.1,-2.2,2.2,1.4,0.4,0.4,1.4,-0.4,0.4,FRB190117.J2207+17,,NE2001,-29.430870910480962,76.34665423579123,,,,,48.0,,,,,,,2.0,,,,,,331.75,22:07:00,,,,,,0.98304,,,,,,,,,,,0.0,0.0,,,,,chime,,repeater,193,2019-08-15 08:33:46.599,2.56,0.13,0.13,2.56,-0.13,0.13,0.2631578947368421,5.0,19.0
213,,400.0,,90.0,14.0,11.0,,600.0,0.0244140625,,,,,46,46.266666666666666,+46:16:00,,309.5,0.30000000000000004,309.5,0.3,,,,,0.9,0.4,0.4,0.9,-0.4,0.4,0.4,0.2,0.2,0.4,-0.2,0.2,FRB190907.J08+46,,NE2001,31.401728357299906,174.2564701295355,,,,,53.0,,,,,,,2.0,,,,,,122.25,08:09:00,,,,,,0.98304,,,,,,,,,,,0.0,0.0,,,,,chime,,repeater,213,2019-09-15 16:27:36.856,0.54,0.14,0.14,0.54,-0.14,0.14,0.13043478260869565,3.0,23.0
214,,400.0,,90.0,14.0,11.0,,600.0,0.0244140625,,,,,46,46.266666666666666,+46:16:00,,309.5,0.2,309.5,0.2,,,,,0.7000000000000001,0.2,0.2,0.7,-0.2,0.2,0.2,0.1,0.1,0.2,-0.1,0.1,FRB190907.J08+46,,NE2001,31.401728357299906,174.2564701295355,,,,,53.0,,,,,,,2.0,,,,,,122.25,08:09:00,,,,,,0.98304,,,,,,,,,,,0.0,0.0,,,,,chime,,one-off,214,2019-09-25 15:54:06.438,3.0,0.8,0.8,3.0,-0.8,0.8,0.13043478260869565,3.0,23.0
