frb,survey
FRB010125,HTRU
FRB010621,PMSURV
FRB010724,PMSURV
FRB090625,HTRU
FRB110220,HTRU
FRB110523,GUPPI
FRB110626,HTRU
FRB110703,HTRU
FRB120127,HTRU
FRB121002,HTRU
FRB121102,PALFA
FRB130626,HTRU
FRB130628,HTRU
FRB130729,HTRU
FRB131104,HTRU
FRB140514,HTRU
FRB150215,HTRU
FRB150418,SUPERB
FRB150807,HTRU
FRB160317,UTMOST
FRB160410,UTMOST
FRB160608,UTMOST
FRB170107,ASKAP-FLY
FRB170827,UTMOST
FRB180212,ASKAP-FLY
FRB180131,ASKAP-FLY
FRB180130,ASKAP-FLY
FRB180128.2,ASKAP-FLY
FRB180128.0,ASKAP-FLY
FRB180119,ASKAP-FLY
FRB180110,ASKAP-FLY
FRB171216,ASKAP-FLY
FRB171213,ASKAP-FLY
FRB171116,ASKAP-FLY
FRB171020,ASKAP-FLY
FRB171019,ASKAP-FLY
FRB171004,ASKAP-FLY
FRB171003,ASKAP-FLY
FRB170906,ASKAP-FLY
FRB170712,ASKAP-FLY
FRB170707,ASKAP-FLY
FRB170428,ASKAP-FLY
FRB170416,ASKAP-FLY
FRB160102,HTRU
FRB151230,HTRU
FRB151206,HTRU
FRB150610,HTRU
FRB141113,PALFA
