back_end,barycentric_event_time,burst_bandwidth,burst_width,burst_width_err,decl,decl_err,discovery_date,dm,dm_model,filename,filetype,fluence,fluence_err,flux,flux_err,frac_lin_pol,galactic_max_dm,galactic_max_dm_model,group,host_redshift,inst_bandwidth,internal_name,lastmodified,name,num_channels,num_files,photometry_date,photometry_id,public_webpage,ra,ra_err,ref_freq,region_filename,remarks,repeater_of_objid,reporter_name,reports_id,rm,rm_err,sampling_time,scattering_time,scattering_time_err,snr,telescope,telescope_mode,time_received,tns_id,ra_frac,dec_frac,gl_frac,gb_frac
Clear-,,,,,+85:26:24.00,1.35 deg,2019-12-19 16:51:34.391,464.22,1.62,,,,,0.0,0.0,,49.39,NE2001,CHIMEFRB,,400.0,65547659,,FRB 20191219F,16384,,2019-12-19 16:51:34.391,789,https://www.chime-frb.ca,15:05:09.600,11 arcmin,600.0,,Data from the real-time pipeline L4 header,,CHIME/FRB Collaboration,80663,,,0.98304,,,173.16,CHIME,FRB,2020-08-25 03:33:24.000,65594,226.29,85.44,121.10176114896663,30.959170371204223
Other-,,,5.89,0.11,+65:43:00.31,0 arcsec,2019-12-19 04:13:19.334,349.5,0.3,,,48.9,1.7,3.58,0.13,1.0,200.0,NE2001,FRBCAT,0.0337,100.0,FRB20180916B,,FRB 20191219E,512,,2019-12-19 04:13:19.334,776,,01:58:00.750,0 arcsec,350.0,,GBT detection of FRB20180916B by Chawla et al. (2020),FRB  20180916B,Emily Petroff,79808,-116.6,0.2,0.02048,,,54.9,GBT,GUPPI,2020-08-12 09:19:09.000,65022,29.503125,65.71675277777778,130.21163030140505,3.5985199443091433
Other-,,,3.9,0.8,+65:43:00.31,0 arcsec,2019-12-19 04:03:47.256,348.8,0.4,,,5.2,0.2,1.09,0.04,1.0,200.0,NE2001,FRBCAT,0.0337,100.0,FRB20180916B,,FRB 20191219D,512,,2019-12-19 04:03:47.256,775,,01:58:00.750,0 arcsec,350.0,,GBT detection of FRB20180916B by Chawla et al. (2020),FRB  20180916B,Emily Petroff,79807,-116.9,0.2,0.02048,5.9,0.3,28.6,GBT,GUPPI,2020-08-12 09:19:02.000,65021,29.503125,65.71675277777778,130.21163030140505,3.5985199443091433
Other-,,,2.7,0.4,+65:43:00.31,0 arcsec,2019-12-19 04:03:47.195,348.8,0.4,,,11.2,0.4,1.24,0.05,1.0,200.0,NE2001,FRBCAT,0.0337,100.0,FRB20180916B,,FRB 20191219C,512,,2019-12-19 04:03:47.195,774,,01:58:00.750,0 arcsec,350.0,,GBT detection of FRB20180916B by Chawla et al. (2020),FRB  20180916B,Emily Petroff,79806,-116.9,0.5,0.02048,5.9,0.3,13.3,GBT,GUPPI,2020-08-12 09:18:56.000,65020,29.503125,65.71675277777778,130.21163030140505,3.5985199443091433
Clear-,,,,,+65:43:48.00,1.0666666666667 deg,2019-12-19 04:11:18.252,351.0,1.62,,,,,0.0,0.0,,198.62,NE2001,CHIMEFRB,,400.0,65511653,,FRB 20191219B,16384,,2019-12-19 04:11:18.252,520,https://www.chime-frb.ca/repeaters,01:57:07.200,28 arcmin,600.0,,Data from the real-time pipeline L4 header,FRB  20180916B,"A. V. Zwaniga, V. M. Kaspi (McGill University), on behalf of the CHIME/FRB Collaboration",65070,,,0.98304,,,17.76,CHIME,FRB,2020-03-26 17:42:27.000,56418,29.28,65.73,130.11916859960445,3.589834627246138
Clear-,,,,,+65:43:48.00,1.1833333333333 deg,2019-12-19 04:07:38.822,352.61,3.23,,,,,0.0,0.0,,198.56,NE2001,CHIMEFRB,,400.0,65511496,,FRB 20191219A,16384,,2019-12-19 04:07:38.822,519,https://www.chime-frb.ca/repeaters,01:57:21.600,33 arcmin,600.0,,Data from the real-time pipeline L4 header,FRB  20180916B,"A. V. Zwaniga, V. M. Kaspi (McGill University), on behalf of the CHIME/FRB Collaboration",65069,,,0.98304,,,10.05,CHIME,FRB,2020-03-26 17:42:27.000,56417,29.34,65.73,130.14319444884626,3.5956009576555465
Clear-,,,,,+65:43:48.00,1.1666666666667 deg,2019-12-18 04:09:27.634,355.85,6.47,,,,,0.0,0.0,,198.19,NE2001,CHIMEFRB,,400.0,65395717,,FRB 20191218A,16384,,2019-12-18 04:09:27.634,518,https://www.chime-frb.ca/repeaters,01:59:14.400,31 arcmin,600.0,,Data from the real-time pipeline L4 header,FRB  20180916B,"A. V. Zwaniga, V. M. Kaspi (McGill University), on behalf of the CHIME/FRB Collaboration",65068,,,0.98304,,,12.88,CHIME,FRB,2020-03-26 17:42:27.000,56416,29.81,65.73,130.3312147193639,3.641540148615017
Clear-,,,,,+81:24:36.00,2.75 deg,2019-12-17 08:38:55.859,304.09,6.47,,,,,0.0,0.0,,52.67,NE2001,CHIMEFRB,,400.0,65300794,,FRB 20191217A,16384,,2019-12-17 08:38:55.859,517,https://www.chime-frb.ca/repeaters,18:26:33.600,38 arcmin,600.0,,Data from the real-time pipeline L4 header,FRB  20190212A,"A. V. Zwaniga, V. M. Kaspi (McGill University), on behalf of the CHIME/FRB Collaboration",65067,,,0.98304,,,18.98,CHIME,FRB,2020-03-26 17:42:27.000,56415,276.64,81.41000000000001,114.28397576073705,27.914249302671713
Clear-,,,,,+48:15:00.00,41 arcmin,2019-12-15 16:13:43.384,223.21,3.23,,,,,0.0,0.0,,29.37,NE2001,CHIMEFRB,,400.0,65049940,,FRB 20191215A,16384,,2019-12-15 16:13:43.384,516,https://www.chime-frb.ca/repeaters,13:53:02.400,28 arcmin,600.0,,Data from the real-time pipeline L4 header,FRB  20190303A,"A. V. Zwaniga, V. M. Kaspi (McGill University), on behalf of the CHIME/FRB Collaboration",65066,,,0.98304,,,15.12,CHIME,FRB,2020-03-26 17:42:27.000,56414,208.26,48.25,100.15916185679549,66.18226123766419
Clear-,,,,,+65:07:48.00,1.1833333333333 deg,2019-12-05 15:44:15.106,368.79,6.47,,,,,0.0,0.0,,34.02,NE2001,CHIMEFRB,,400.0,63705597,,FRB 20191205A,16384,,2019-12-05 15:44:15.106,515,https://www.chime-frb.ca/repeaters,12:41:19.200,34 arcmin,600.0,,Data from the real-time pipeline L4 header,FRB  20181119A,"A. V. Zwaniga, V. M. Kaspi (McGill University), on behalf of the CHIME/FRB Collaboration",65065,,,0.98304,,,8.32,CHIME,FRB,2020-03-26 17:42:27.000,56413,190.33,65.13,126.50833428563236,51.92255875278276
